beat,year,stops
0111,2015,292
0111,2016,375
0111,2017,594
0111,2018,1579
0111,2019,1659
0111,2020,848
0111,2021,1394
0112,2015,203
0112,2016,254
0112,2017,572
0112,2018,1353
0112,2019,1364
0112,2020,718
0112,2021,1116
0113,2015,475
0113,2016,487
0113,2017,1043
0113,2018,1914
0113,2019,2082
0113,2020,768
0113,2021,1073
0114,2015,464
0114,2016,539
0114,2017,1738
0114,2018,1622
0114,2019,2291
0114,2020,1266
0114,2021,2263
0121,2015,85
0121,2016,157
0121,2017,231
0121,2018,372
0121,2019,492
0121,2020,347
0121,2021,481
0122,2015,192
0122,2016,272
0122,2017,438
0122,2018,1000
0122,2019,959
0122,2020,539
0122,2021,706
0123,2015,234
0123,2016,308
0123,2017,569
0123,2018,1286
0123,2019,1522
0123,2020,1160
0123,2021,2197
0124,2015,111
0124,2016,187
0124,2017,304
0124,2018,564
0124,2019,785
0124,2020,781
0124,2021,1109
0131,2015,269
0131,2016,351
0131,2017,722
0131,2018,1229
0131,2019,1648
0131,2020,1270
0131,2021,2296
0132,2015,216
0132,2016,213
0132,2017,297
0132,2018,541
0132,2019,903
0132,2020,593
0132,2021,992
0133,2015,176
0133,2016,119
0133,2017,278
0133,2018,704
0133,2019,851
0133,2020,1057
0133,2021,804
0211,2015,231
0211,2016,526
0211,2017,619
0211,2018,1614
0211,2019,2097
0211,2020,934
0211,2021,966
0212,2015,1335
0212,2016,1972
0212,2017,4018
0212,2018,7729
0212,2019,8190
0212,2020,4060
0212,2021,3587
0213,2015,90
0213,2016,396
0213,2017,536
0213,2018,1438
0213,2019,2438
0213,2020,1089
0213,2021,1114
0214,2015,81
0214,2016,303
0214,2017,333
0214,2018,982
0214,2019,1414
0214,2020,646
0214,2021,703
0215,2015,74
0215,2016,509
0215,2017,791
0215,2018,1966
0215,2019,2521
0215,2020,1028
0215,2021,1210
0221,2015,82
0221,2016,529
0221,2017,742
0221,2018,1588
0221,2019,1912
0221,2020,797
0221,2021,951
0222,2015,601
0222,2016,782
0222,2017,555
0222,2018,1217
0222,2019,1926
0222,2020,726
0222,2021,932
0223,2015,79
0223,2016,624
0223,2017,829
0223,2018,1868
0223,2019,2214
0223,2020,871
0223,2021,807
0224,2015,93
0224,2016,686
0224,2017,931
0224,2018,2111
0224,2019,3200
0224,2020,1215
0224,2021,1200
0225,2015,126
0225,2016,980
0225,2017,799
0225,2018,2089
0225,2019,3158
0225,2020,1106
0225,2021,1154
0231,2015,160
0231,2016,914
0231,2017,804
0231,2018,1791
0231,2019,2944
0231,2020,1054
0231,2021,1058
0232,2015,137
0232,2016,904
0232,2017,686
0232,2018,1832
0232,2019,2052
0232,2020,798
0232,2021,1059
0233,2015,67
0233,2016,342
0233,2017,312
0233,2018,948
0233,2019,1502
0233,2020,644
0233,2021,475
0234,2015,86
0234,2016,153
0234,2017,369
0234,2018,958
0234,2019,1774
0234,2020,627
0234,2021,281
0235,2015,46
0235,2016,135
0235,2017,187
0235,2018,560
0235,2019,910
0235,2020,310
0235,2021,207
0311,2015,253
0311,2016,528
0311,2017,514
0311,2018,1264
0311,2019,1527
0311,2020,719
0311,2021,956
0312,2015,649
0312,2016,1269
0312,2017,1483
0312,2018,3789
0312,2019,3530
0312,2020,2417
0312,2021,1628
0313,2015,308
0313,2016,606
0313,2017,827
0313,2018,1751
0313,2019,1645
0313,2020,1223
0313,2021,784
0314,2015,77
0314,2016,222
0314,2017,327
0314,2018,445
0314,2019,512
0314,2020,285
0314,2021,296
0321,2015,693
0321,2016,1131
0321,2017,1397
0321,2018,3019
0321,2019,2796
0321,2020,2522
0321,2021,1983
0322,2015,421
0322,2016,659
0322,2017,1096
0322,2018,2177
0322,2019,1820
0322,2020,997
0322,2021,936
0323,2015,476
0323,2016,766
0323,2017,1253
0323,2018,2720
0323,2019,2403
0323,2020,1037
0323,2021,1285
0324,2015,349
0324,2016,644
0324,2017,1123
0324,2018,1618
0324,2019,2074
0324,2020,1510
0324,2021,2140
0331,2015,353
0331,2016,488
0331,2017,1108
0331,2018,1547
0331,2019,1848
0331,2020,1127
0331,2021,639
0332,2015,427
0332,2016,746
0332,2017,1169
0332,2018,1950
0332,2019,2394
0332,2020,1310
0332,2021,1556
0333,2015,171
0333,2016,374
0333,2017,851
0333,2018,1170
0333,2019,1682
0333,2020,746
0333,2021,480
0334,2015,195
0334,2016,219
0334,2017,819
0334,2018,874
0334,2019,939
0334,2020,617
0334,2021,341
0411,2015,595
0411,2016,1045
0411,2017,1487
0411,2018,1932
0411,2019,4568
0411,2020,1990
0411,2021,1662
0412,2015,740
0412,2016,1040
0412,2017,1476
0412,2018,2308
0412,2019,4257
0412,2020,2111
0412,2021,2309
0413,2015,401
0413,2016,554
0413,2017,934
0413,2018,2392
0413,2019,3854
0413,2020,1981
0413,2021,2221
0414,2015,476
0414,2016,981
0414,2017,2337
0414,2018,3093
0414,2019,6604
0414,2020,2067
0414,2021,1896
0421,2015,553
0421,2016,1041
0421,2017,2089
0421,2018,3200
0421,2019,4805
0421,2020,1679
0421,2021,1631
0422,2015,420
0422,2016,1080
0422,2017,1618
0422,2018,3390
0422,2019,3578
0422,2020,1293
0422,2021,1170
0423,2015,1593
0423,2016,2213
0423,2017,2760
0423,2018,4651
0423,2019,8967
0423,2020,2656
0423,2021,2494
0424,2015,474
0424,2016,1085
0424,2017,1449
0424,2018,2150
0424,2019,3612
0424,2020,1350
0424,2021,1103
0431,2015,592
0431,2016,831
0431,2017,1474
0431,2018,2788
0431,2019,3311
0431,2020,1547
0431,2021,1599
0432,2015,1709
0432,2016,2339
0432,2017,4131
0432,2018,4427
0432,2019,5079
0432,2020,2163
0432,2021,1414
0433,2015,505
0433,2016,604
0433,2017,1092
0433,2018,1840
0433,2019,2057
0433,2020,783
0433,2021,524
0434,2015,254
0434,2016,458
0434,2017,801
0434,2018,1184
0434,2019,1864
0434,2020,1180
0434,2021,565
0511,2015,235
0511,2016,1232
0511,2017,1503
0511,2018,2537
0511,2019,2913
0511,2020,1361
0511,2021,1457
0512,2015,278
0512,2016,1086
0512,2017,1178
0512,2018,1898
0512,2019,2246
0512,2020,1121
0512,2021,1072
0513,2015,276
0513,2016,922
0513,2017,941
0513,2018,1456
0513,2019,1577
0513,2020,907
0513,2021,867
0522,2015,204
0522,2016,1257
0522,2017,1233
0522,2018,1617
0522,2019,1631
0522,2020,892
0522,2021,1154
0523,2015,84
0523,2016,604
0523,2017,604
0523,2018,987
0523,2019,1258
0523,2020,914
0523,2021,890
0524,2015,149
0524,2016,683
0524,2017,735
0524,2018,1095
0524,2019,1211
0524,2020,989
0524,2021,1275
0531,2015,89
0531,2016,626
0531,2017,760
0531,2018,1401
0531,2019,1357
0531,2020,634
0531,2021,874
0532,2015,142
0532,2016,947
0532,2017,1128
0532,2018,2285
0532,2019,2488
0532,2020,902
0532,2021,1673
0533,2015,59
0533,2016,331
0533,2017,530
0533,2018,2589
0533,2019,3666
0533,2020,847
0533,2021,402
0611,2015,283
0611,2016,1397
0611,2017,1834
0611,2018,2620
0611,2019,3665
0611,2020,704
0611,2021,2126
0612,2015,159
0612,2016,1158
0612,2017,2024
0612,2018,3334
0612,2019,3627
0612,2020,1648
0612,2021,3259
0613,2015,150
0613,2016,911
0613,2017,1641
0613,2018,2405
0613,2019,2434
0613,2020,904
0613,2021,1599
0614,2015,228
0614,2016,1426
0614,2017,2228
0614,2018,2515
0614,2019,2769
0614,2020,782
0614,2021,1569
0621,2015,124
0621,2016,1148
0621,2017,2006
0621,2018,3972
0621,2019,4639
0621,2020,1668
0621,2021,3636
0622,2015,147
0622,2016,447
0622,2017,652
0622,2018,1210
0622,2019,1225
0622,2020,399
0622,2021,976
0623,2015,147
0623,2016,658
0623,2017,1769
0623,2018,3082
0623,2019,3196
0623,2020,1241
0623,2021,2356
0624,2015,351
0624,2016,1296
0624,2017,1927
0624,2018,2655
0624,2019,2632
0624,2020,1334
0624,2021,2463
0631,2015,159
0631,2016,784
0631,2017,1056
0631,2018,1605
0631,2019,1605
0631,2020,886
0631,2021,1379
0632,2015,136
0632,2016,900
0632,2017,1192
0632,2018,2319
0632,2019,2041
0632,2020,954
0632,2021,1804
0633,2015,85
0633,2016,319
0633,2017,410
0633,2018,1105
0633,2019,910
0633,2020,337
0633,2021,505
0634,2015,36
0634,2016,308
0634,2017,362
0634,2018,379
0634,2019,415
0634,2020,178
0634,2021,205
0711,2015,129
0711,2016,864
0711,2017,1192
0711,2018,2689
0711,2019,3023
0711,2020,1299
0711,2021,1435
0712,2015,223
0712,2016,1717
0712,2017,2380
0712,2018,5892
0712,2019,5203
0712,2020,1939
0712,2021,2628
0713,2015,295
0713,2016,1603
0713,2017,2599
0713,2018,5220
0713,2019,5164
0713,2020,1916
0713,2021,2910
0714,2015,138
0714,2016,797
0714,2017,1146
0714,2018,2936
0714,2019,3370
0714,2020,1100
0714,2021,1694
0715,2015,192
0715,2016,883
0715,2017,861
0715,2018,1726
0715,2019,2336
0715,2020,689
0715,2021,753
0722,2015,245
0722,2016,529
0722,2017,1212
0722,2018,1877
0722,2019,2785
0722,2020,1394
0722,2021,1469
0723,2015,251
0723,2016,1303
0723,2017,2539
0723,2018,4507
0723,2019,6051
0723,2020,2496
0723,2021,2690
0724,2015,149
0724,2016,1002
0724,2017,1769
0724,2018,3197
0724,2019,3493
0724,2020,1862
0724,2021,2417
0725,2015,262
0725,2016,1497
0725,2017,2732
0725,2018,6240
0725,2019,6169
0725,2020,2563
0725,2021,4149
0726,2015,279
0726,2016,1217
0726,2017,2354
0726,2018,4449
0726,2019,4283
0726,2020,1147
0726,2021,1383
0731,2015,108
0731,2016,452
0731,2017,1377
0731,2018,2539
0731,2019,3794
0731,2020,2180
0731,2021,1987
0732,2015,133
0732,2016,783
0732,2017,1533
0732,2018,3131
0732,2019,3610
0732,2020,1921
0732,2021,1990
0733,2015,211
0733,2016,1876
0733,2017,2845
0733,2018,5308
0733,2019,5040
0733,2020,2863
0733,2021,2836
0734,2015,154
0734,2016,1225
0734,2017,1826
0734,2018,3531
0734,2019,3315
0734,2020,1814
0734,2021,2664
0735,2015,371
0735,2016,1319
0735,2017,3115
0735,2018,5901
0735,2019,5602
0735,2020,1918
0735,2021,2700
0811,2015,92
0811,2016,365
0811,2017,576
0811,2018,734
0811,2019,1018
0811,2020,299
0811,2021,143
0812,2015,72
0812,2016,362
0812,2017,416
0812,2018,511
0812,2019,661
0812,2020,162
0812,2021,69
0813,2015,154
0813,2016,752
0813,2017,1234
0813,2018,1968
0813,2019,2843
0813,2020,950
0813,2021,605
0814,2015,54
0814,2016,180
0814,2017,563
0814,2018,707
0814,2019,959
0814,2020,400
0814,2021,126
0815,2015,128
0815,2016,328
0815,2017,916
0815,2018,1399
0815,2019,2106
0815,2020,767
0815,2021,429
0821,2015,242
0821,2016,467
0821,2017,696
0821,2018,1191
0821,2019,1747
0821,2020,791
0821,2021,391
0822,2015,143
0822,2016,667
0822,2017,1257
0822,2018,2454
0822,2019,3836
0822,2020,1749
0822,2021,1204
0823,2015,167
0823,2016,790
0823,2017,1209
0823,2018,2310
0823,2019,3686
0823,2020,1934
0823,2021,1607
0824,2015,161
0824,2016,528
0824,2017,693
0824,2018,1706
0824,2019,2809
0824,2020,1532
0824,2021,1105
0825,2015,303
0825,2016,765
0825,2017,1009
0825,2018,2191
0825,2019,3841
0825,2020,2120
0825,2021,1800
0831,2015,131
0831,2016,570
0831,2017,1046
0831,2018,1329
0831,2019,2944
0831,2020,1697
0831,2021,1377
0832,2015,478
0832,2016,1055
0832,2017,1259
0832,2018,1673
0832,2019,4689
0832,2020,3113
0832,2021,2286
0833,2015,190
0833,2016,467
0833,2017,825
0833,2018,1038
0833,2019,1992
0833,2020,598
0833,2021,505
0834,2015,82
0834,2016,308
0834,2017,545
0834,2018,738
0834,2019,1347
0834,2020,441
0834,2021,260
0835,2015,199
0835,2016,355
0835,2017,485
0835,2018,794
0835,2019,1973
0835,2020,896
0835,2021,622
0911,2015,254
0911,2016,562
0911,2017,573
0911,2018,848
0911,2019,1199
0911,2020,724
0911,2021,460
0912,2015,308
0912,2016,564
0912,2017,924
0912,2018,1349
0912,2019,1669
0912,2020,982
0912,2021,964
0913,2015,349
0913,2016,682
0913,2017,929
0913,2018,964
0913,2019,987
0913,2020,612
0913,2021,805
0914,2015,228
0914,2016,397
0914,2017,664
0914,2018,1087
0914,2019,1420
0914,2020,619
0914,2021,992
0915,2015,235
0915,2016,428
0915,2017,596
0915,2018,806
0915,2019,909
0915,2020,557
0915,2021,716
0921,2015,277
0921,2016,586
0921,2017,822
0921,2018,1591
0921,2019,2147
0921,2020,1279
0921,2021,546
0922,2015,291
0922,2016,702
0922,2017,1491
0922,2018,2563
0922,2019,3120
0922,2020,1928
0922,2021,788
0923,2015,248
0923,2016,461
0923,2017,1031
0923,2018,1579
0923,2019,1816
0923,2020,1031
0923,2021,669
0924,2015,597
0924,2016,1263
0924,2017,2356
0924,2018,2601
0924,2019,2197
0924,2020,1018
0924,2021,1001
0925,2015,196
0925,2016,381
0925,2017,579
0925,2018,938
0925,2019,1257
0925,2020,559
0925,2021,550
0931,2015,310
0931,2016,876
0931,2017,1874
0931,2018,2501
0931,2019,2065
0931,2020,672
0931,2021,645
0932,2015,239
0932,2016,628
0932,2017,1071
0932,2018,1640
0932,2019,1728
0932,2020,616
0932,2021,561
0933,2015,234
0933,2016,918
0933,2017,1318
0933,2018,1529
0933,2019,1346
0933,2020,504
0933,2021,412
0934,2015,432
0934,2016,1131
0934,2017,1111
0934,2018,1778
0934,2019,2034
0934,2020,872
0934,2021,737
0935,2015,184
0935,2016,491
0935,2017,516
0935,2018,804
0935,2019,1068
0935,2020,410
0935,2021,364
1011,2015,568
1011,2016,1752
1011,2017,2433
1011,2018,3938
1011,2019,3521
1011,2020,3360
1011,2021,4996
1012,2015,279
1012,2016,533
1012,2017,569
1012,2018,1102
1012,2019,1427
1012,2020,1336
1012,2021,1756
1013,2015,431
1013,2016,799
1013,2017,807
1013,2018,837
1013,2019,1599
1013,2020,1692
1013,2021,2131
1014,2015,375
1014,2016,1048
1014,2017,1006
1014,2018,1513
1014,2019,2005
1014,2020,2570
1014,2021,3235
1021,2015,442
1021,2016,1217
1021,2017,1410
1021,2018,1618
1021,2019,1973
1021,2020,2639
1021,2021,4362
1022,2015,422
1022,2016,1107
1022,2017,1275
1022,2018,1686
1022,2019,2240
1022,2020,2496
1022,2021,4388
1023,2015,135
1023,2016,288
1023,2017,678
1023,2018,942
1023,2019,1372
1023,2020,1024
1023,2021,1396
1024,2015,248
1024,2016,657
1024,2017,699
1024,2018,1154
1024,2019,2156
1024,2020,2368
1024,2021,2634
1031,2015,407
1031,2016,965
1031,2017,878
1031,2018,787
1031,2019,1685
1031,2020,1623
1031,2021,2183
1032,2015,407
1032,2016,578
1032,2017,538
1032,2018,867
1032,2019,1652
1032,2020,1704
1032,2021,2519
1033,2015,275
1033,2016,503
1033,2017,585
1033,2018,1331
1033,2019,1894
1033,2020,1886
1033,2021,1787
1034,2015,266
1034,2016,465
1034,2017,657
1034,2018,1286
1034,2019,1610
1034,2020,2281
1034,2021,2433
1111,2015,606
1111,2016,915
1111,2017,1473
1111,2018,2464
1111,2019,3700
1111,2020,2418
1111,2021,2543
1112,2015,1147
1112,2016,1771
1112,2017,3061
1112,2018,3936
1112,2019,7498
1112,2020,6081
1112,2021,6567
1113,2015,589
1113,2016,2476
1113,2017,2844
1113,2018,2704
1113,2019,2942
1113,2020,3896
1113,2021,5785
1114,2015,291
1114,2016,632
1114,2017,593
1114,2018,711
1114,2019,1072
1114,2020,1029
1114,2021,1069
1115,2015,546
1115,2016,2642
1115,2017,1737
1115,2018,2488
1115,2019,4167
1115,2020,4083
1115,2021,5677
1121,2015,564
1121,2016,951
1121,2017,1350
1121,2018,2443
1121,2019,4790
1121,2020,3585
1121,2021,5044
1122,2015,680
1122,2016,1550
1122,2017,2286
1122,2018,3248
1122,2019,6021
1122,2020,4330
1122,2021,4878
1123,2015,392
1123,2016,848
1123,2017,1648
1123,2018,1973
1123,2019,2183
1123,2020,1575
1123,2021,1471
1124,2015,452
1124,2016,625
1124,2017,838
1124,2018,993
